,Survived,Pclass,Sex,Age,Fare,Embarked,Class
0,0,3,male,22.0,7.25,Southampton,3rd Class
1,1,1,female,38.0,71.2833,Cherbourg,1st Class
2,1,3,female,26.0,7.925,Southampton,3rd Class
3,1,1,female,35.0,53.1,Southampton,1st Class
4,0,3,male,35.0,8.05,Southampton,3rd Class
6,0,1,male,54.0,51.8625,Southampton,1st Class
7,0,3,male,2.0,21.075,Southampton,3rd Class
8,1,3,female,27.0,11.1333,Southampton,3rd Class
9,1,2,female,14.0,30.0708,Cherbourg,2nd Class
10,1,3,female,4.0,16.7,Southampton,3rd Class
11,1,1,female,58.0,26.55,Southampton,1st Class
12,0,3,male,20.0,8.05,Southampton,3rd Class
13,0,3,male,39.0,31.275,Southampton,3rd Class
14,0,3,female,14.0,7.8542,Southampton,3rd Class
15,1,2,female,55.0,16.0,Southampton,2nd Class
16,0,3,male,2.0,29.125,Queenstown,3rd Class
18,0,3,female,31.0,18.0,Southampton,3rd Class
20,0,2,male,35.0,26.0,Southampton,2nd Class
21,1,2,male,34.0,13.0,Southampton,2nd Class
22,1,3,female,15.0,8.0292,Queenstown,3rd Class
23,1,1,male,28.0,35.5,Southampton,1st Class
24,0,3,female,8.0,21.075,Southampton,3rd Class
25,1,3,female,38.0,31.3875,Southampton,3rd Class
27,0,1,male,19.0,263.0,Southampton,1st Class
30,0,1,male,40.0,27.7208,Cherbourg,1st Class
33,0,2,male,66.0,10.5,Southampton,2nd Class
34,0,1,male,28.0,82.1708,Cherbourg,1st Class
35,0,1,male,42.0,52.0,Southampton,1st Class
37,0,3,male,21.0,8.05,Southampton,3rd Class
38,0,3,female,18.0,18.0,Southampton,3rd Class
39,1,3,female,14.0,11.2417,Cherbourg,3rd Class
40,0,3,female,40.0,9.475,Southampton,3rd Class
41,0,2,female,27.0,21.0,Southampton,2nd Class
43,1,2,female,3.0,41.5792,Cherbourg,2nd Class
44,1,3,female,19.0,7.8792,Queenstown,3rd Class
49,0,3,female,18.0,17.8,Southampton,3rd Class
50,0,3,male,7.0,39.6875,Southampton,3rd Class
51,0,3,male,21.0,7.8,Southampton,3rd Class
52,1,1,female,49.0,76.7292,Cherbourg,1st Class
53,1,2,female,29.0,26.0,Southampton,2nd Class
54,0,1,male,65.0,61.9792,Cherbourg,1st Class
56,1,2,female,21.0,10.5,Southampton,2nd Class
57,0,3,male,28.5,7.2292,Cherbourg,3rd Class
58,1,2,female,5.0,27.75,Southampton,2nd Class
59,0,3,male,11.0,46.9,Southampton,3rd Class
60,0,3,male,22.0,7.2292,Cherbourg,3rd Class
62,0,1,male,45.0,83.475,Southampton,1st Class
63,0,3,male,4.0,27.9,Southampton,3rd Class
66,1,2,female,29.0,10.5,Southampton,2nd Class
67,0,3,male,19.0,8.1583,Southampton,3rd Class
68,1,3,female,17.0,7.925,Southampton,3rd Class
69,0,3,male,26.0,8.6625,Southampton,3rd Class
70,0,2,male,32.0,10.5,Southampton,2nd Class
71,0,3,female,16.0,46.9,Southampton,3rd Class
72,0,2,male,21.0,73.5,Southampton,2nd Class
73,0,3,male,26.0,14.4542,Cherbourg,3rd Class
74,1,3,male,32.0,56.4958,Southampton,3rd Class
75,0,3,male,25.0,7.65,Southampton,3rd Class
78,1,2,male,0.83,29.0,Southampton,2nd Class
79,1,3,female,30.0,12.475,Southampton,3rd Class
80,0,3,male,22.0,9.0,Southampton,3rd Class
81,1,3,male,29.0,9.5,Southampton,3rd Class
83,0,1,male,28.0,47.1,Southampton,1st Class
84,1,2,female,17.0,10.5,Southampton,2nd Class
85,1,3,female,33.0,15.85,Southampton,3rd Class
86,0,3,male,16.0,34.375,Southampton,3rd Class
88,1,1,female,23.0,263.0,Southampton,1st Class
89,0,3,male,24.0,8.05,Southampton,3rd Class
90,0,3,male,29.0,8.05,Southampton,3rd Class
91,0,3,male,20.0,7.8542,Southampton,3rd Class
92,0,1,male,46.0,61.175,Southampton,1st Class
93,0,3,male,26.0,20.575,Southampton,3rd Class
94,0,3,male,59.0,7.25,Southampton,3rd Class
96,0,1,male,71.0,34.6542,Cherbourg,1st Class
97,1,1,male,23.0,63.3583,Cherbourg,1st Class
98,1,2,female,34.0,23.0,Southampton,2nd Class
99,0,2,male,34.0,26.0,Southampton,2nd Class
100,0,3,female,28.0,7.8958,Southampton,3rd Class
102,0,1,male,21.0,77.2875,Southampton,1st Class
103,0,3,male,33.0,8.6542,Southampton,3rd Class
104,0,3,male,37.0,7.925,Southampton,3rd Class
105,0,3,male,28.0,7.8958,Southampton,3rd Class
106,1,3,female,21.0,7.65,Southampton,3rd Class
108,0,3,male,38.0,7.8958,Southampton,3rd Class
110,0,1,male,47.0,52.0,Southampton,1st Class
111,0,3,female,14.5,14.4542,Cherbourg,3rd Class
112,0,3,male,22.0,8.05,Southampton,3rd Class
113,0,3,female,20.0,9.825,Southampton,3rd Class
114,0,3,female,17.0,14.4583,Cherbourg,3rd Class
115,0,3,male,21.0,7.925,Southampton,3rd Class
116,0,3,male,70.5,7.75,Queenstown,3rd Class
117,0,2,male,29.0,21.0,Southampton,2nd Class
118,0,1,male,24.0,247.5208,Cherbourg,1st Class
119,0,3,female,2.0,31.275,Southampton,3rd Class
120,0,2,male,21.0,73.5,Southampton,2nd Class
122,0,2,male,32.5,30.0708,Cherbourg,2nd Class
123,1,2,female,32.5,13.0,Southampton,2nd Class
124,0,1,male,54.0,77.2875,Southampton,1st Class
125,1,3,male,12.0,11.2417,Cherbourg,3rd Class
127,1,3,male,24.0,7.1417,Southampton,3rd Class
129,0,3,male,45.0,6.975,Southampton,3rd Class
130,0,3,male,33.0,7.8958,Cherbourg,3rd Class
131,0,3,male,20.0,7.05,Southampton,3rd Class
132,0,3,female,47.0,14.5,Southampton,3rd Class
133,1,2,female,29.0,26.0,Southampton,2nd Class
134,0,2,male,25.0,13.0,Southampton,2nd Class
135,0,2,male,23.0,15.0458,Cherbourg,2nd Class
136,1,1,female,19.0,26.2833,Southampton,1st Class
137,0,1,male,37.0,53.1,Southampton,1st Class
138,0,3,male,16.0,9.2167,Southampton,3rd Class
139,0,1,male,24.0,79.2,Cherbourg,1st Class
141,1,3,female,22.0,7.75,Southampton,3rd Class
142,1,3,female,24.0,15.85,Southampton,3rd Class
143,0,3,male,19.0,6.75,Queenstown,3rd Class
144,0,2,male,18.0,11.5,Southampton,2nd Class
145,0,2,male,19.0,36.75,Southampton,2nd Class
146,1,3,male,27.0,7.7958,Southampton,3rd Class
147,0,3,female,9.0,34.375,Southampton,3rd Class
148,0,2,male,36.5,26.0,Southampton,2nd Class
149,0,2,male,42.0,13.0,Southampton,2nd Class
150,0,2,male,51.0,12.525,Southampton,2nd Class
151,1,1,female,22.0,66.6,Southampton,1st Class
152,0,3,male,55.5,8.05,Southampton,3rd Class
153,0,3,male,40.5,14.5,Southampton,3rd Class
155,0,1,male,51.0,61.3792,Cherbourg,1st Class
156,1,3,female,16.0,7.7333,Queenstown,3rd Class
157,0,3,male,30.0,8.05,Southampton,3rd Class
160,0,3,male,44.0,16.1,Southampton,3rd Class
161,1,2,female,40.0,15.75,Southampton,2nd Class
162,0,3,male,26.0,7.775,Southampton,3rd Class
163,0,3,male,17.0,8.6625,Southampton,3rd Class
164,0,3,male,1.0,39.6875,Southampton,3rd Class
165,1,3,male,9.0,20.525,Southampton,3rd Class
167,0,3,female,45.0,27.9,Southampton,3rd Class
169,0,3,male,28.0,56.4958,Southampton,3rd Class
170,0,1,male,61.0,33.5,Southampton,1st Class
171,0,3,male,4.0,29.125,Queenstown,3rd Class
172,1,3,female,1.0,11.1333,Southampton,3rd Class
173,0,3,male,21.0,7.925,Southampton,3rd Class
174,0,1,male,56.0,30.6958,Cherbourg,1st Class
175,0,3,male,18.0,7.8542,Southampton,3rd Class
177,0,1,female,50.0,28.7125,Cherbourg,1st Class
178,0,2,male,30.0,13.0,Southampton,2nd Class
179,0,3,male,36.0,0.0,Southampton,3rd Class
182,0,3,male,9.0,31.3875,Southampton,3rd Class
183,1,2,male,1.0,39.0,Southampton,2nd Class
184,1,3,female,4.0,22.025,Southampton,3rd Class
187,1,1,male,45.0,26.55,Southampton,1st Class
188,0,3,male,40.0,15.5,Queenstown,3rd Class
189,0,3,male,36.0,7.8958,Southampton,3rd Class
190,1,2,female,32.0,13.0,Southampton,2nd Class
191,0,2,male,19.0,13.0,Southampton,2nd Class
192,1,3,female,19.0,7.8542,Southampton,3rd Class
193,1,2,male,3.0,26.0,Southampton,2nd Class
194,1,1,female,44.0,27.7208,Cherbourg,1st Class
195,1,1,female,58.0,146.5208,Cherbourg,1st Class
197,0,3,male,42.0,8.4042,Southampton,3rd Class
199,0,2,female,24.0,13.0,Southampton,2nd Class
200,0,3,male,28.0,9.5,Southampton,3rd Class
202,0,3,male,34.0,6.4958,Southampton,3rd Class
203,0,3,male,45.5,7.225,Cherbourg,3rd Class
204,1,3,male,18.0,8.05,Southampton,3rd Class
205,0,3,female,2.0,10.4625,Southampton,3rd Class
206,0,3,male,32.0,15.85,Southampton,3rd Class
207,1,3,male,26.0,18.7875,Cherbourg,3rd Class
208,1,3,female,16.0,7.75,Queenstown,3rd Class
209,1,1,male,40.0,31.0,Cherbourg,1st Class
210,0,3,male,24.0,7.05,Southampton,3rd Class
211,1,2,female,35.0,21.0,Southampton,2nd Class
212,0,3,male,22.0,7.25,Southampton,3rd Class
213,0,2,male,30.0,13.0,Southampton,2nd Class
215,1,1,female,31.0,113.275,Cherbourg,1st Class
216,1,3,female,27.0,7.925,Southampton,3rd Class
217,0,2,male,42.0,27.0,Southampton,2nd Class
218,1,1,female,32.0,76.2917,Cherbourg,1st Class
219,0,2,male,30.0,10.5,Southampton,2nd Class
220,1,3,male,16.0,8.05,Southampton,3rd Class
221,0,2,male,27.0,13.0,Southampton,2nd Class
222,0,3,male,51.0,8.05,Southampton,3rd Class
224,1,1,male,38.0,90.0,Southampton,1st Class
225,0,3,male,22.0,9.35,Southampton,3rd Class
226,1,2,male,19.0,10.5,Southampton,2nd Class
227,0,3,male,20.5,7.25,Southampton,3rd Class
228,0,2,male,18.0,13.0,Southampton,2nd Class
230,1,1,female,35.0,83.475,Southampton,1st Class
231,0,3,male,29.0,7.775,Southampton,3rd Class
232,0,2,male,59.0,13.5,Southampton,2nd Class
233,1,3,female,5.0,31.3875,Southampton,3rd Class
234,0,2,male,24.0,10.5,Southampton,2nd Class
236,0,2,male,44.0,26.0,Southampton,2nd Class
237,1,2,female,8.0,26.25,Southampton,2nd Class
238,0,2,male,19.0,10.5,Southampton,2nd Class
239,0,2,male,33.0,12.275,Southampton,2nd Class
242,0,2,male,29.0,10.5,Southampton,2nd Class
243,0,3,male,22.0,7.125,Southampton,3rd Class
244,0,3,male,30.0,7.225,Cherbourg,3rd Class
245,0,1,male,44.0,90.0,Queenstown,1st Class
246,0,3,female,25.0,7.775,Southampton,3rd Class
247,1,2,female,24.0,14.5,Southampton,2nd Class
248,1,1,male,37.0,52.5542,Southampton,1st Class
249,0,2,male,54.0,26.0,Southampton,2nd Class
251,0,3,female,29.0,10.4625,Southampton,3rd Class
252,0,1,male,62.0,26.55,Southampton,1st Class
253,0,3,male,30.0,16.1,Southampton,3rd Class
254,0,3,female,41.0,20.2125,Southampton,3rd Class
255,1,3,female,29.0,15.2458,Cherbourg,3rd Class
257,1,1,female,30.0,86.5,Southampton,1st Class
258,1,1,female,35.0,512.3292,Cherbourg,1st Class
259,1,2,female,50.0,26.0,Southampton,2nd Class
261,1,3,male,3.0,31.3875,Southampton,3rd Class
262,0,1,male,52.0,79.65,Southampton,1st Class
263,0,1,male,40.0,0.0,Southampton,1st Class
265,0,2,male,36.0,10.5,Southampton,2nd Class
266,0,3,male,16.0,39.6875,Southampton,3rd Class
267,1,3,male,25.0,7.775,Southampton,3rd Class
268,1,1,female,58.0,153.4625,Southampton,1st Class
269,1,1,female,35.0,135.6333,Southampton,1st Class
271,1,3,male,25.0,0.0,Southampton,3rd Class
272,1,2,female,41.0,19.5,Southampton,2nd Class
273,0,1,male,37.0,29.7,Cherbourg,1st Class
275,1,1,female,63.0,77.9583,Southampton,1st Class
276,0,3,female,45.0,7.75,Southampton,3rd Class
278,0,3,male,7.0,29.125,Queenstown,3rd Class
279,1,3,female,35.0,20.25,Southampton,3rd Class
280,0,3,male,65.0,7.75,Queenstown,3rd Class
281,0,3,male,28.0,7.8542,Southampton,3rd Class
282,0,3,male,16.0,9.5,Southampton,3rd Class
283,1,3,male,19.0,8.05,Southampton,3rd Class
285,0,3,male,33.0,8.6625,Cherbourg,3rd Class
286,1,3,male,30.0,9.5,Southampton,3rd Class
287,0,3,male,22.0,7.8958,Southampton,3rd Class
288,1,2,male,42.0,13.0,Southampton,2nd Class
289,1,3,female,22.0,7.75,Queenstown,3rd Class
290,1,1,female,26.0,78.85,Southampton,1st Class
291,1,1,female,19.0,91.0792,Cherbourg,1st Class
292,0,2,male,36.0,12.875,Cherbourg,2nd Class
293,0,3,female,24.0,8.85,Southampton,3rd Class
294,0,3,male,24.0,7.8958,Southampton,3rd Class
296,0,3,male,23.5,7.2292,Cherbourg,3rd Class
297,0,1,female,2.0,151.55,Southampton,1st Class
299,1,1,female,50.0,247.5208,Cherbourg,1st Class
302,0,3,male,19.0,0.0,Southampton,3rd Class
305,1,1,male,0.92,151.55,Southampton,1st Class
307,1,1,female,17.0,108.9,Cherbourg,1st Class
308,0,2,male,30.0,24.0,Cherbourg,2nd Class
309,1,1,female,30.0,56.9292,Cherbourg,1st Class
310,1,1,female,24.0,83.1583,Cherbourg,1st Class
311,1,1,female,18.0,262.375,Cherbourg,1st Class
312,0,2,female,26.0,26.0,Southampton,2nd Class
313,0,3,male,28.0,7.8958,Southampton,3rd Class
314,0,2,male,43.0,26.25,Southampton,2nd Class
315,1,3,female,26.0,7.8542,Southampton,3rd Class
316,1,2,female,24.0,26.0,Southampton,2nd Class
317,0,2,male,54.0,14.0,Southampton,2nd Class
318,1,1,female,31.0,164.8667,Southampton,1st Class
319,1,1,female,40.0,134.5,Cherbourg,1st Class
320,0,3,male,22.0,7.25,Southampton,3rd Class
321,0,3,male,27.0,7.8958,Southampton,3rd Class
322,1,2,female,30.0,12.35,Queenstown,2nd Class
323,1,2,female,22.0,29.0,Southampton,2nd Class
325,1,1,female,36.0,135.6333,Cherbourg,1st Class
326,0,3,male,61.0,6.2375,Southampton,3rd Class
327,1,2,female,36.0,13.0,Southampton,2nd Class
328,1,3,female,31.0,20.525,Southampton,3rd Class
329,1,1,female,16.0,57.9792,Cherbourg,1st Class
331,0,1,male,45.5,28.5,Southampton,1st Class
332,0,1,male,38.0,153.4625,Southampton,1st Class
333,0,3,male,16.0,18.0,Southampton,3rd Class
336,0,1,male,29.0,66.6,Southampton,1st Class
337,1,1,female,41.0,134.5,Cherbourg,1st Class
338,1,3,male,45.0,8.05,Southampton,3rd Class
339,0,1,male,45.0,35.5,Southampton,1st Class
340,1,2,male,2.0,26.0,Southampton,2nd Class
341,1,1,female,24.0,263.0,Southampton,1st Class
342,0,2,male,28.0,13.0,Southampton,2nd Class
343,0,2,male,25.0,13.0,Southampton,2nd Class
344,0,2,male,36.0,13.0,Southampton,2nd Class
345,1,2,female,24.0,13.0,Southampton,2nd Class
346,1,2,female,40.0,13.0,Southampton,2nd Class
348,1,3,male,3.0,15.9,Southampton,3rd Class
349,0,3,male,42.0,8.6625,Southampton,3rd Class
350,0,3,male,23.0,9.225,Southampton,3rd Class
352,0,3,male,15.0,7.2292,Cherbourg,3rd Class
353,0,3,male,25.0,17.8,Southampton,3rd Class
355,0,3,male,28.0,9.5,Southampton,3rd Class
356,1,1,female,22.0,55.0,Southampton,1st Class
357,0,2,female,38.0,13.0,Southampton,2nd Class
360,0,3,male,40.0,27.9,Southampton,3rd Class
361,0,2,male,29.0,27.7208,Cherbourg,2nd Class
362,0,3,female,45.0,14.4542,Cherbourg,3rd Class
363,0,3,male,35.0,7.05,Southampton,3rd Class
365,0,3,male,30.0,7.25,Southampton,3rd Class
366,1,1,female,60.0,75.25,Cherbourg,1st Class
369,1,1,female,24.0,69.3,Cherbourg,1st Class
370,1,1,male,25.0,55.4417,Cherbourg,1st Class
371,0,3,male,18.0,6.4958,Southampton,3rd Class
372,0,3,male,19.0,8.05,Southampton,3rd Class
373,0,1,male,22.0,135.6333,Cherbourg,1st Class
374,0,3,female,3.0,21.075,Southampton,3rd Class
376,1,3,female,22.0,7.25,Southampton,3rd Class
377,0,1,male,27.0,211.5,Cherbourg,1st Class
378,0,3,male,20.0,4.0125,Cherbourg,3rd Class
379,0,3,male,19.0,7.775,Southampton,3rd Class
380,1,1,female,42.0,227.525,Cherbourg,1st Class
381,1,3,female,1.0,15.7417,Cherbourg,3rd Class
382,0,3,male,32.0,7.925,Southampton,3rd Class
383,1,1,female,35.0,52.0,Southampton,1st Class
385,0,2,male,18.0,73.5,Southampton,2nd Class
386,0,3,male,1.0,46.9,Southampton,3rd Class
387,1,2,female,36.0,13.0,Southampton,2nd Class
389,1,2,female,17.0,12.0,Cherbourg,2nd Class
390,1,1,male,36.0,120.0,Southampton,1st Class
391,1,3,male,21.0,7.7958,Southampton,3rd Class
392,0,3,male,28.0,7.925,Southampton,3rd Class
393,1,1,female,23.0,113.275,Cherbourg,1st Class
394,1,3,female,24.0,16.7,Southampton,3rd Class
395,0,3,male,22.0,7.7958,Southampton,3rd Class
396,0,3,female,31.0,7.8542,Southampton,3rd Class
397,0,2,male,46.0,26.0,Southampton,2nd Class
398,0,2,male,23.0,10.5,Southampton,2nd Class
399,1,2,female,28.0,12.65,Southampton,2nd Class
400,1,3,male,39.0,7.925,Southampton,3rd Class
401,0,3,male,26.0,8.05,Southampton,3rd Class
402,0,3,female,21.0,9.825,Southampton,3rd Class
403,0,3,male,28.0,15.85,Southampton,3rd Class
404,0,3,female,20.0,8.6625,Southampton,3rd Class
405,0,2,male,34.0,21.0,Southampton,2nd Class
406,0,3,male,51.0,7.75,Southampton,3rd Class
407,1,2,male,3.0,18.75,Southampton,2nd Class
408,0,3,male,21.0,7.775,Southampton,3rd Class
412,1,1,female,33.0,90.0,Queenstown,1st Class
414,1,3,male,44.0,7.925,Southampton,3rd Class
416,1,2,female,34.0,32.5,Southampton,2nd Class
417,1,2,female,18.0,13.0,Southampton,2nd Class
418,0,2,male,30.0,13.0,Southampton,2nd Class
419,0,3,female,10.0,24.15,Southampton,3rd Class
421,0,3,male,21.0,7.7333,Queenstown,3rd Class
422,0,3,male,29.0,7.875,Southampton,3rd Class
423,0,3,female,28.0,14.4,Southampton,3rd Class
424,0,3,male,18.0,20.2125,Southampton,3rd Class
426,1,2,female,28.0,26.0,Southampton,2nd Class
427,1,2,female,19.0,26.0,Southampton,2nd Class
429,1,3,male,32.0,8.05,Southampton,3rd Class
430,1,1,male,28.0,26.55,Southampton,1st Class
432,1,2,female,42.0,26.0,Southampton,2nd Class
433,0,3,male,17.0,7.125,Southampton,3rd Class
434,0,1,male,50.0,55.9,Southampton,1st Class
435,1,1,female,14.0,120.0,Southampton,1st Class
436,0,3,female,21.0,34.375,Southampton,3rd Class
437,1,2,female,24.0,18.75,Southampton,2nd Class
438,0,1,male,64.0,263.0,Southampton,1st Class
439,0,2,male,31.0,10.5,Southampton,2nd Class
440,1,2,female,45.0,26.25,Southampton,2nd Class
441,0,3,male,20.0,9.5,Southampton,3rd Class
442,0,3,male,25.0,7.775,Southampton,3rd Class
443,1,2,female,28.0,13.0,Southampton,2nd Class
